VERSION	0.00.00	1.03.00
FES_MODE	0
BPM_DEF	190.000	190.000	190.000	190.000	
MET_DEF	0	0
RESOLUTION	384
CLK_DEF	384
COMPATIBLE_CODE	MA2

BPM	0	0	190
MET	0	0	4	4

TAP	2	0	0
TAP	2	72	1
TAP	2	96	1
TAP	2	144	2
TAP	2	240	3
TAP	2	336	4
TTP	3	48	1E
TTP	3	96	7E
TTP	3	144	2E
TTP	3	192	6E
TTP	3	240	3E
TTP	3	288	5E
TTP	3	336	0C
TAP	4	0	7
TAP	4	72	6
TAP	4	96	6
TAP	4	144	5
TAP	4	240	4
TAP	4	336	3
TTP	5	48	7E
TTP	5	96	1E
TTP	5	144	6E
TTP	5	192	2E
TTP	5	240	5E
TTP	5	288	3E
TTP	5	336	0C
TAP	6	0	0
TAP	6	48	0
TAP	6	96	1
TAP	6	144	1
TAP	6	192	2
TAP	6	216	3
TAP	6	240	2
TAP	6	288	1
TAP	6	288	4
TAP	6	336	0
TAP	7	0	7
TAP	7	48	7
TAP	7	96	6
TAP	7	144	6
TAP	7	192	5
TAP	7	216	4
TAP	7	240	5
TAP	7	288	3
TAP	7	288	6
TAP	7	336	7
TAP	8	0	3
TAP	8	24	4
TAP	8	48	3
TAP	8	72	4
TAP	8	96	2
TAP	8	120	5
TAP	8	144	2
TAP	8	168	5
TAP	8	192	1
TAP	8	216	6
TAP	8	240	1
TAP	8	264	6
TAP	8	288	0
TAP	8	312	7
TAP	8	336	0
TAP	8	360	7
RST	9	0	1
SI_	9	0	1	96	48	3
RST	9	0	6
RST	9	96	7
SI_	9	96	7	96	48	5
RST	9	192	0
SI_	9	192	0	96	48	4
RST	9	288	7
HLD	10	0	5	72
TAP	10	72	4
TAP	10	96	5
TAP	10	144	3
TAP	10	144	6
TAP	10	192	5
TAP	10	240	1
TAP	10	240	4
TAP	10	288	2
TAP	10	336	3
TAP	10	336	6
TAP	11	0	5
TAP	11	24	4
TAP	11	48	5
TAP	11	72	4
TAP	11	96	5
TAP	11	144	3
TAP	11	192	2
TAP	11	192	4
TAP	11	240	1
TAP	11	288	0
TAP	11	288	6
TAP	11	336	7
HLD	12	0	2	72
TAP	12	72	3
TAP	12	96	2
TAP	12	144	1
TAP	12	144	4
TAP	12	192	2
TAP	12	240	3
TAP	12	240	6
TAP	12	288	5
TAP	12	336	1
TAP	12	336	4
TAP	13	0	2
TAP	13	24	3
TAP	13	48	2
TAP	13	72	3
TAP	13	96	2
TAP	13	144	4
TAP	13	192	3
TAP	13	192	5
TAP	13	240	6
TAP	13	288	1
TAP	13	288	7
TAP	13	336	0
HLD	14	0	5	72
TAP	14	72	4
TAP	14	96	5
TAP	14	144	3
TAP	14	144	6
TAP	14	192	5
TAP	14	240	1
TAP	14	240	4
TAP	14	288	2
TAP	14	336	3
TAP	14	336	6
TAP	15	0	5
TAP	15	24	4
TAP	15	48	5
TAP	15	72	4
TAP	15	96	5
TAP	15	144	3
TAP	15	192	3
TAP	15	192	4
TAP	15	240	2
TAP	15	240	5
TAP	15	288	1
TAP	15	288	6
TAP	15	336	0
TAP	15	336	7
HLD	16	0	6	72
TAP	16	72	7
TAP	16	96	6
TAP	16	144	0
TAP	16	144	5
HLD	16	192	1	72
TAP	16	264	0
TAP	16	288	1
TAP	16	336	2
TAP	16	336	7
TAP	17	0	0
TAP	17	24	7
TAP	17	48	0
TAP	17	72	7
TAP	17	96	0
TAP	17	120	7
TAP	17	144	0
TAP	17	168	7
RST	17	192	0
RST	17	204	1
RST	17	216	2
RST	17	228	3
RST	17	240	4
RST	17	252	5
RST	17	264	6
RST	17	276	7
RST	17	288	0
HLD	18	0	5	336
TAP	18	144	4
TAP	18	240	4
STR	18	336	4
SCL	18	336	4	96	144	1
TTP	19	192	6B
TTP	19	192	7B
TTP	19	288	3B
TTP	19	288	4B
HLD	20	0	2	336
TAP	20	144	3
TAP	20	240	3
STR	20	336	3
SCR	20	336	3	96	144	6
TTP	21	192	0B
TTP	21	192	1B
TTP	21	288	3B
TTP	21	288	4B
HLD	22	0	6	336
TAP	22	144	7
TAP	22	240	7
STR	22	336	7
SCR	22	336	7	96	144	2
TTP	23	192	5B
TTP	23	192	6B
TTP	23	288	2B
TTP	23	288	3B
HLD	24	0	1	336
TAP	24	144	0
TAP	24	240	0
STR	24	336	0
SCL	24	336	0	96	144	5
TTP	25	192	1B
TTP	25	192	2B
TTP	25	288	4B
TTP	25	288	5B
RST	26	0	0
RST	26	0	7
TAP	26	48	2
TAP	26	72	3
TAP	26	96	2
TAP	26	144	5
TAP	26	168	4
TAP	26	192	5
TAP	26	240	1
TAP	26	264	3
TAP	26	288	2
TAP	26	336	6
TAP	26	360	4
TAP	27	0	5
TAP	27	48	0
TAP	27	72	3
TAP	27	96	2
TAP	27	144	7
TAP	27	168	4
TAP	27	192	5
TAP	27	240	0
TAP	27	264	7
TAP	27	288	0
RST	27	336	1
RST	27	336	6
RST	28	0	1
RST	28	0	6
SCR	28	0	6	96	48	1
RST	28	96	2
RST	28	192	2
SCR	28	192	2	96	48	5
RST	28	192	5
RST	28	288	6
TAP	29	0	0
TAP	29	0	7
RST	29	48	0
RST	29	48	7
SCL	29	48	7	96	48	4
RST	29	144	0
SCR	29	144	0	96	48	3
RST	29	240	7
SCL	29	240	7	96	48	4
RST	29	336	0
RST	30	0	1
TAP	30	48	2
TAP	30	96	3
STR	30	144	4
SCR	30	144	4	96	48	7
RST	30	240	3
SCL	30	240	3	96	48	0
RST	30	336	4
RST	31	0	5
TAP	31	48	6
TAP	31	96	7
TAP	31	144	0
RST	31	192	1
RST	31	192	3
RST	31	264	4
RST	31	264	6
RST	31	336	3
RST	31	336	4
RST	32	0	3
RST	32	0	4
TAP	32	48	5
TAP	32	96	6
RST	32	144	3
RST	32	144	7
RST	32	192	3
RST	32	192	7
TAP	32	240	2
TAP	32	288	1
RST	32	336	0
RST	32	336	4
RST	33	0	0
RST	33	0	4
TAP	33	48	3
TAP	33	48	5
RST	33	96	2
RST	33	96	6
TAP	33	144	1
TAP	33	144	7
RST	33	192	0
SI_	33	192	0	96	48	4
RST	33	288	4
SF_	33	288	4	96	48	0
TTP	34	12	0C
STR	34	192	0
SCR	34	192	0	96	48	3
STR	34	192	7
SCL	34	192	7	96	48	4
TTP	34	296	1E
TTP	34	296	7E
TTP	34	304	2E
TTP	34	304	6E
TTP	34	312	3E
TTP	34	312	5E
RST	35	0	0
RST	35	16	1
RST	35	32	2
RST	35	48	3
RST	35	96	7
RST	35	112	6
RST	35	128	5
RST	35	144	4
RST	35	192	0
RST	35	208	1
RST	35	224	2
RST	35	240	3
RST	35	288	7
RST	35	304	6
RST	35	320	5
RST	35	336	4
RST	36	0	0
RST	36	16	1
RST	36	32	2
RST	36	48	3
RST	36	96	7
RST	36	112	6
RST	36	128	5
RST	36	144	4
TAP	36	192	1
TAP	36	240	0
TAP	36	240	2
TAP	36	288	3
TAP	36	288	7
TAP	36	336	4
TAP	36	336	6
RST	37	0	5
SI_	37	0	5	96	48	1
RST	37	96	2
SI_	37	96	2	96	48	4
RST	37	192	6
SI_	37	192	6	96	48	0
RST	37	288	1
SI_	37	288	1	96	48	5
RST	38	0	7
TAP	38	96	3
TAP	38	96	6
TAP	38	144	3
TAP	38	144	6
TAP	38	192	2
TAP	38	240	1
TAP	38	240	4
TAP	38	288	5
TAP	38	336	3
TAP	38	336	6
RST	39	0	7
RST	39	16	6
RST	39	32	5
RST	39	48	4
