VERSION	0.00.00	1.03.00
FES_MODE	0
BPM_DEF	190.000	190.000	190.000	190.000	
MET_DEF	0	0
RESOLUTION	384
CLK_DEF	384
COMPATIBLE_CODE	MA2

BPM	0	0	190
MET	0	0	4	4

TAP	1	0	0
TAP	1	72	1
TAP	1	96	1
TAP	1	144	2
TAP	1	240	3
TAP	1	336	4
TTP	2	48	1E
TTP	2	96	7E
TTP	2	144	2E
TTP	2	192	6E
TTP	2	240	3E
TTP	2	288	5E
TTP	2	336	0C
TAP	3	0	7
TAP	3	72	6
TAP	3	96	6
TAP	3	144	5
TAP	3	240	4
TAP	3	336	3
TTP	4	48	7E
TTP	4	96	1E
TTP	4	144	6E
TTP	4	192	2E
TTP	4	240	5E
TTP	4	288	3E
TTP	4	336	0C
TAP	5	0	0
TAP	5	48	0
TAP	5	96	1
TAP	5	144	1
TAP	5	192	2
TAP	5	216	3
TAP	5	240	2
TAP	5	288	1
TAP	5	288	4
TAP	5	336	0
TAP	6	0	7
TAP	6	48	7
TAP	6	96	6
TAP	6	144	6
TAP	6	192	5
TAP	6	216	4
TAP	6	240	5
TAP	6	288	3
TAP	6	288	6
TAP	6	336	7
TAP	7	0	3
TAP	7	24	4
TAP	7	48	3
TAP	7	72	4
TAP	7	96	2
TAP	7	120	5
TAP	7	144	2
TAP	7	168	5
TAP	7	192	1
TAP	7	216	6
TAP	7	240	1
TAP	7	264	6
TAP	7	288	0
TAP	7	312	7
TAP	7	336	0
TAP	7	360	7
STR	8	0	1
SI_	8	0	1	96	48	3
TAP	8	0	6
STR	8	96	7
SI_	8	96	7	96	48	5
STR	8	192	0
SI_	8	192	0	96	48	4
TAP	8	288	7
HLD	9	0	5	72
TAP	9	72	4
TAP	9	96	5
TAP	9	144	3
TAP	9	144	6
TAP	9	192	5
TAP	9	240	1
TAP	9	240	4
TAP	9	288	2
TAP	9	336	3
TAP	9	336	6
TAP	10	0	5
TAP	10	24	4
TAP	10	48	5
TAP	10	72	4
TAP	10	96	5
TAP	10	144	3
TAP	10	192	2
TAP	10	192	4
TAP	10	240	1
TAP	10	288	0
TAP	10	288	6
TAP	10	336	7
HLD	11	0	2	72
TAP	11	72	3
TAP	11	96	2
TAP	11	144	1
TAP	11	144	4
TAP	11	192	2
TAP	11	240	3
TAP	11	240	6
TAP	11	288	5
TAP	11	336	1
TAP	11	336	4
TAP	12	0	2
TAP	12	24	3
TAP	12	48	2
TAP	12	72	3
TAP	12	96	2
TAP	12	144	4
TAP	12	192	3
TAP	12	192	5
TAP	12	240	6
TAP	12	288	1
TAP	12	288	7
TAP	12	336	0
HLD	13	0	5	72
TAP	13	72	4
TAP	13	96	5
TAP	13	144	3
TAP	13	144	6
TAP	13	192	5
TAP	13	240	1
TAP	13	240	4
TAP	13	288	2
TAP	13	336	3
TAP	13	336	6
TAP	14	0	5
TAP	14	24	4
TAP	14	48	5
TAP	14	72	4
TAP	14	96	5
TAP	14	144	3
TAP	14	192	3
TAP	14	192	4
TAP	14	240	2
TAP	14	240	5
TAP	14	288	1
TAP	14	288	6
TAP	14	336	0
TAP	14	336	7
HLD	15	0	6	72
TAP	15	72	7
TAP	15	96	6
TAP	15	144	0
TAP	15	144	5
HLD	15	192	1	72
TAP	15	264	0
TAP	15	288	1
TAP	15	336	2
TAP	15	336	7
TAP	16	0	0
TAP	16	24	7
TAP	16	48	0
TAP	16	72	7
TAP	16	96	0
TAP	16	120	7
TAP	16	144	0
TAP	16	168	7
TAP	16	192	0
TAP	16	204	1
TAP	16	216	2
TAP	16	228	3
TAP	16	240	4
TAP	16	252	5
TAP	16	264	6
TAP	16	276	7
TAP	16	288	0
HLD	17	0	5	336
TAP	17	144	4
TAP	17	240	4
STR	17	336	4
SCL	17	336	4	96	144	1
TTP	18	192	6B
TTP	18	192	7B
TTP	18	288	3B
TTP	18	288	4B
HLD	19	0	2	336
TAP	19	144	3
TAP	19	240	3
STR	19	336	3
SCR	19	336	3	96	144	6
TTP	20	192	0B
TTP	20	192	1B
TTP	20	288	3B
TTP	20	288	4B
HLD	21	0	6	336
TAP	21	144	7
TAP	21	240	7
STR	21	336	7
SCR	21	336	7	96	144	2
TTP	22	192	5B
TTP	22	192	6B
TTP	22	288	2B
TTP	22	288	3B
HLD	23	0	1	336
TAP	23	144	0
TAP	23	240	0
STR	23	336	0
SCL	23	336	0	96	144	5
TTP	24	192	1B
TTP	24	192	2B
TTP	24	288	4B
TTP	24	288	5B
TAP	25	0	0
TAP	25	0	7
TAP	25	48	2
TAP	25	72	3
TAP	25	96	2
TAP	25	144	5
TAP	25	168	4
TAP	25	192	5
TAP	25	240	1
TAP	25	264	3
TAP	25	288	2
TAP	25	336	6
TAP	25	360	4
TAP	26	0	5
TAP	26	48	0
TAP	26	72	3
TAP	26	96	2
TAP	26	144	7
TAP	26	168	4
TAP	26	192	5
TAP	26	240	0
TAP	26	264	7
TAP	26	288	0
TAP	26	336	1
TAP	26	336	6
TAP	27	0	1
STR	27	0	6
SCR	27	0	6	96	48	1
TAP	27	96	2
STR	27	192	2
SCR	27	192	2	96	48	5
TAP	27	192	5
TAP	27	288	6
TAP	28	0	0
TAP	28	0	7
TAP	28	48	0
STR	28	48	7
SCL	28	48	7	96	48	4
STR	28	144	0
SCR	28	144	0	96	48	3
STR	28	240	7
SCL	28	240	7	96	48	4
TAP	28	336	0
TAP	29	0	1
TAP	29	48	2
TAP	29	96	3
STR	29	144	4
SCR	29	144	4	96	48	7
STR	29	240	3
SCL	29	240	3	96	48	0
TAP	29	336	4
TAP	30	0	5
TAP	30	48	6
TAP	30	96	7
TAP	30	144	0
TAP	30	192	1
TAP	30	192	3
TAP	30	264	4
TAP	30	264	6
TAP	30	336	3
TAP	30	336	4
TAP	31	0	3
TAP	31	0	4
TAP	31	48	5
TAP	31	96	6
TAP	31	144	3
TAP	31	144	7
TAP	31	192	3
TAP	31	192	7
TAP	31	240	2
TAP	31	288	1
TAP	31	336	0
TAP	31	336	4
TAP	32	0	0
TAP	32	0	4
TAP	32	48	3
TAP	32	48	5
TAP	32	96	2
TAP	32	96	6
TAP	32	144	1
TAP	32	144	7
STR	32	192	0
SI_	32	192	0	96	48	4
STR	32	288	4
SF_	32	288	4	96	48	0
TTP	33	12	0C
STR	33	192	0
SCR	33	192	0	96	48	3
STR	33	192	7
SCL	33	192	7	96	48	4
TTP	33	296	1E
TTP	33	296	7E
TTP	33	304	2E
TTP	33	304	6E
TTP	33	312	3E
TTP	33	312	5E
TAP	34	0	0
TAP	34	16	1
TAP	34	32	2
TAP	34	48	3
TAP	34	96	7
TAP	34	112	6
TAP	34	128	5
TAP	34	144	4
TAP	34	192	0
TAP	34	208	1
TAP	34	224	2
TAP	34	240	3
TAP	34	288	7
TAP	34	304	6
TAP	34	320	5
TAP	34	336	4
TAP	35	0	0
TAP	35	16	1
TAP	35	32	2
TAP	35	48	3
TAP	35	96	7
TAP	35	112	6
TAP	35	128	5
TAP	35	144	4
TAP	35	192	1
TAP	35	240	0
TAP	35	240	2
TAP	35	288	3
TAP	35	288	7
TAP	35	336	4
TAP	35	336	6
STR	36	0	5
SI_	36	0	5	96	48	1
STR	36	96	2
SI_	36	96	2	96	48	4
STR	36	192	6
SI_	36	192	6	96	48	0
STR	36	288	1
SI_	36	288	1	96	48	5
TAP	37	0	7
TAP	37	96	3
TAP	37	96	6
TAP	37	144	3
TAP	37	144	6
TAP	37	192	2
TAP	37	240	1
TAP	37	240	4
